"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1977-10","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","4.4","","","","1"
"1977-11","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","4.7","","","","1"
"1977-12","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","5.0","","","","1"
"1978-01","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","4.8","","","","1"
"1978-02","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","4.9","","","","1"
"1978-03","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","5.3","","","","1"
"1978-04","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","4.8","","","","1"
"1978-05","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","5.1","","","","1"
"1978-06","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","4.9","","","","1"
"1978-07","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","4.7","","","","1"
"1978-08","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","4.8","","","","1"
"1978-09","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","4.6","","","","1"
"1978-10","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","4.5","","","","1"
"1978-11","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","4.6","","","","1"
"1978-12","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","4.6","","","","1"
"1979-01","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","4.7","","","","1"
"1979-02","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","4.6","","","","1"
"1979-03","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","4.4","","","","1"
"1979-04","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","4.7","","","","1"
"1979-05","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","4.6","","","","1"
"1979-06","Saskatchewan","2016A000247","Unemployment rate","Both sexes","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units ","0","v2064327","9.7.1.1.1.1","4.0","","","","1"
